data;canal;tema;resumo;resolvido
22/09/2025;telefone;Problema no app;Erro ao visualizar extrato foi corrigido;sim
01/10/2025;chat;Tesouro Selic;Cliente pediu explicaĂ§ĂŁo sobre o funcionamento do Tesouro Direto;sim
12/10/2025;chat;Metas financeiras;Cliente acompanhou o progresso da reserva de emergĂŞncia;sim
25/10/2025;email;AtualizaĂ§ĂŁo cadastral;Cliente atualizou e-mail e telefone;sim
02/11/2025;chat;Alerta de Gastos;Katherine alertou sobre 3 pedidos de delivery seguidos na mesma semana;sim
05/11/2025;chat;Metas financeiras;Cliente perguntou se o gasto com delivery atrasaria a meta do notebook;sim
07/11/2025;chat;Alerta de Gastos;Aviso de excesso de carga no módulo 'Vestuário' após compra de tęnis;sim
10/11/2025;chat;Educaçăo Financeira;Explicaçăo sobre a diferença entre Renda Fixa e Variável para o perfil moderado;sim
15/11/2025;chat;Alerta de Gastos;Alerta de vazamento de combustível: 10 pedidos de iFood atingidos no męs;sim
18/11/2025;chat;Metas financeiras;Recálculo de trajetória para reserva de emergęncia após gastos extras;sim
22/11/2025;chat;Alerta de Gastos;Aviso de turbulęncia: Gastos com lazer ultrapassaram 20% da renda mensal;sim
24/11/2025;chat;Planejamento;Cliente pediu para simular compra de notebook parcelado vs ŕ vista;sim
26/11/2025;chat;Alerta de Gastos;Katherine detectou gasto crítico em delivery que compromete o aporte do męs;sim
28/11/2025;chat;Revisăo Mensal;Relatório final de novembro: Identificado excesso de peso em delivery e roupas;sim
